年份,月份,區域別總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
97,7,7158,916,745,513,662,648,909,180,152,207,391,219,334,217,395,117,153,41,128,129,84,17,1
97,8,6663,850,700,435,635,601,829,144,159,185,403,205,318,229,358,100,159,37,127,98,76,14,1
97,9,6911,832,734,485,644,609,904,167,155,185,401,218,314,203,429,119,168,27,125,101,69,19,3
97,10,7460,941,782,498,699,675,933,200,181,221,478,225,315,249,382,125,158,29,155,110,84,19,1
97,11,6491,807,690,434,595,597,792,141,150,191,400,182,289,240,366,102,155,38,120,105,84,11,2
97,12,8243,982,851,600,783,757,1044,208,208,235,496,262,369,274,431,132,204,33,129,125,99,17,4
98,1,6012,757,614,451,590,551,728,126,145,174,351,181,281,183,315,104,137,24,97,105,74,21,3
98,2,9696,1237,993,715,945,866,1250,237,236,296,578,285,372,297,513,158,212,43,169,154,110,25,5
98,3,7732,1023,767,603,761,624,965,169,194,206,452,261,328,259,394,131,189,32,138,119,96,20,1
98,4,7360,996,786,557,706,638,894,148,148,212,434,213,327,227,380,124,170,36,133,115,84,30,2
98,5,6354,794,697,424,640,566,788,169,128,211,369,202,279,185,310,99,153,29,107,104,73,26,1
98,6,7590,1002,843,510,728,641,976,181,154,234,441,237,334,233,375,121,154,50,131,117,97,29,2
98,7,7053,882,798,534,668,623,866,161,163,192,424,206,313,223,369,113,150,37,135,98,67,30,1
98,8,7261,881,744,470,684,622,1166,142,142,197,439,209,272,265,366,126,173,42,123,102,70,21,5
98,9,7080,936,717,475,618,684,921,152,143,222,398,187,337,246,349,115,167,49,134,109,93,25,3
98,10,7045,873,704,519,681,610,941,140,159,210,411,204,293,246,385,123,160,31,131,113,84,25,2
98,11,7024,879,660,516,686,661,879,181,163,188,443,215,309,216,373,117,150,36,148,105,77,21,1
98,12,7881,997,791,514,770,731,975,195,156,250,468,232,345,266,443,137,180,32,140,134,89,32,4
99,1,7692,1010,790,603,790,647,914,162,168,237,514,218,354,251,391,126,145,37,108,123,85,17,2
99,2,6908,882,730,539,665,604,859,167,174,208,393,212,270,249,332,115,149,44,121,99,82,13,1
99,3,8437,1087,834,622,809,746,1072,195,194,275,535,255,351,243,417,139,180,48,152,147,94,37,5
99,4,7380,951,812,519,766,604,869,177,155,217,463,209,332,258,374,137,145,53,126,111,81,20,1
99,5,6981,934,726,536,672,587,836,155,181,211,443,217,254,244,332,118,166,36,137,105,71,17,3
99,6,7187,971,743,532,701,626,884,158,191,179,409,203,304,235,359,115,162,42,147,102,94,29,1
99,7,7455,967,798,563,743,648,948,163,157,220,444,219,318,251,389,111,146,37,140,99,82,10,2
99,8,7398,967,761,507,709,703,1002,155,162,182,428,193,317,216,412,95,173,47,136,101,95,34,3
99,9,7186,876,730,457,716,656,959,181,167,214,425,235,304,236,382,103,158,35,125,123,80,21,3
99,10,7027,908,714,520,667,613,915,160,161,205,408,176,290,248,351,129,169,50,125,101,87,25,5
99,11,7588,988,748,595,740,667,920,189,189,214,453,211,323,275,382,108,178,42,143,109,87,26,1
99,12,7913,999,760,612,787,707,985,187,171,227,472,221,346,286,404,132,192,43,157,117,77,30,1
100,1,8813,1147,906,664,895,780,1103,179,219,264,535,248,370,262,430,135,191,58,144,135,121,27,0
100,2,7887,1051,830,629,814,720,924,173,193,254,436,252,285,241,372,143,169,43,116,117,88,36,1
100,3,9736,1313,1037,758,931,860,1157,245,249,295,530,297,376,304,483,147,205,57,200,153,102,33,4
100,4,8196,1103,836,652,806,713,1017,173,205,236,467,222,347,258,417,144,163,53,142,134,75,27,6
100,5,7808,1005,760,582,772,674,1018,187,163,250,464,225,328,241,393,149,185,38,139,121,88,25,1
100,6,7458,940,774,551,719,681,980,173,166,218,458,199,310,245,379,103,157,51,131,114,76,32,1
100,7,6754,822,711,482,663,600,859,136,123,201,412,225,269,227,369,114,164,34,113,113,84,30,3
100,8,7544,996,737,549,698,657,982,165,181,209,433,229,341,244,415,140,144,40,145,119,90,27,3
100,9,7180,951,707,479,653,674,925,170,161,203,439,220,297,229,400,125,179,36,118,99,84,28,3
100,10,7054,941,688,563,646,621,936,165,140,184,413,202,290,220,407,115,147,38,130,107,72,24,5
100,11,7538,986,720,541,701,693,935,188,173,211,441,232,335,235,451,106,174,42,140,130,73,27,4
100,12,7842,990,791,618,787,722,975,176,156,207,481,242,317,274,419,115,180,41,132,122,75,21,1
101,1,7979,1022,829,569,808,755,991,185,194,248,465,216,339,256,395,122,170,44,140,120,82,27,2
101,2,8686,1153,920,691,876,763,1082,189,187,285,492,256,372,276,390,143,180,42,140,136,79,33,1
101,3,8778,1188,940,675,860,735,1076,165,174,281,557,259,364,267,416,141,182,49,158,156,96,36,3
101,4,7818,1048,825,587,745,700,987,184,187,207,482,208,305,259,398,130,177,40,120,134,67,24,4
101,5,7977,1039,801,645,741,651,1026,179,190,233,468,267,363,264,413,125,162,46,123,121,89,29,2
101,6,7053,932,753,514,670,619,860,138,172,213,410,221,285,230,375,108,175,38,112,108,90,29,1
101,7,8190,1159,873,603,790,744,1049,191,155,202,483,248,329,236,421,114,162,32,144,133,88,31,3
101,8,7696,1002,803,576,742,711,974,148,166,239,440,226,301,237,403,130,192,35,140,111,93,24,3
101,9,6947,925,703,485,646,594,941,141,137,188,465,210,293,240,362,116,160,31,99,100,85,24,2
101,10,7860,1054,822,557,746,699,992,192,188,231,445,222,314,263,401,133,202,32,132,111,82,40,2
101,11,7387,998,766,511,754,611,923,169,134,222,416,213,333,245,385,129,176,38,140,105,91,26,2
101,12,7247,1013,754,532,684,639,880,182,153,190,407,219,304,247,351,135,163,35,131,116,77,33,2
102,1,9318,1264,938,675,892,871,1171,193,204,281,569,279,385,303,451,134,207,36,165,169,92,36,3
102,2,7228,955,769,530,700,648,941,156,165,189,421,211,290,224,354,116,134,45,149,128,75,26,2
102,3,8242,1213,882,672,737,689,982,156,196,257,455,240,354,247,422,126,174,48,140,128,96,26,2
102,4,8051,1099,823,612,802,678,991,172,158,278,446,233,344,259,412,128,185,30,139,140,83,34,5
102,5,7865,1108,799,558,713,698,947,172,192,238,481,233,339,249,414,141,167,37,144,113,87,29,6
102,6,6928,918,709,496,711,563,916,165,173,196,370,201,280,226,372,96,157,36,110,123,87,21,2
102,7,8194,1093,776,608,781,747,1058,229,171,242,466,230,367,251,390,135,190,33,158,141,94,26,8
102,8,7324,981,735,555,773,575,904,165,195,202,412,224,310,230,361,125,172,53,126,128,75,18,5
102,9,7521,1022,762,567,693,673,962,169,150,201,446,230,335,261,367,133,159,28,143,114,82,21,3
102,10,8112,1153,784,589,804,737,1072,177,176,232,449,245,329,253,395,123,179,34,145,101,95,39,1
102,11,7359,953,812,561,691,622,921,170,174,229,426,212,281,235,378,125,176,37,120,118,84,33,1
102,12,8363,1087,871,646,808,767,1048,201,191,216,495,247,399,267,387,128,165,26,169,110,106,29,0
103,1,8365,1172,849,627,810,719,1039,217,191,256,498,254,338,277,400,133,180,45,133,115,87,22,3
103,2,9248,1258,972,733,850,791,1148,216,214,276,488,256,397,334,436,155,209,42,165,158,111,34,5
103,3,9246,1271,975,734,879,731,1117,210,238,322,577,266,377,291,429,135,196,45,158,152,106,34,3
103,4,8527,1229,911,656,819,676,1022,183,192,278,499,238,387,302,403,137,156,48,133,121,103,31,3
103,5,7929,1088,848,617,777,700,979,190,181,224,434,248,312,257,402,103,162,48,133,108,80,34,4
103,6,7600,996,755,578,754,618,977,171,165,199,451,230,352,268,354,110,169,47,163,119,88,33,3
103,7,8482,1084,804,652,843,791,1056,202,171,224,519,246,379,303,436,125,194,61,146,128,83,31,4
103,8,7543,1067,796,552,752,571,1040,161,153,234,420,212,312,228,381,115,155,44,116,124,74,34,2
103,9,8047,1074,773,601,789,735,1015,180,167,233,509,216,325,272,401,120,193,59,148,128,81,26,2
103,10,7867,1003,826,585,784,690,1000,176,165,227,479,237,331,255,391,136,181,43,128,119,80,27,4
103,11,7008,940,712,509,702,595,905,165,172,183,413,166,262,229,386,140,134,37,120,114,95,27,2
103,12,8871,1236,910,679,869,737,1165,191,201,243,482,254,374,284,446,157,195,38,140,135,96,35,4
104,1,8584,1196,842,649,806,732,1035,193,203,285,510,259,355,273,438,133,200,41,132,141,126,30,5
104,2,7312,1011,766,513,736,596,925,160,167,222,471,204,318,247,346,102,149,36,123,106,77,34,3
104,3,9625,1358,977,713,921,777,1225,200,227,277,560,287,392,339,461,138,199,53,174,169,129,44,5
104,4,8490,1236,896,661,825,669,966,198,210,245,510,250,350,255,420,152,175,57,157,126,96,34,2
104,5,7734,1147,758,615,743,622,935,184,163,227,433,261,312,263,348,123,170,43,136,117,94,39,1
104,6,8127,1072,792,600,787,696,1087,167,172,232,524,221,318,280,429,148,170,38,124,135,95,40,0
104,7,8659,1173,867,668,893,703,1084,186,175,222,539,249,383,279,422,141,193,55,166,120,104,36,1
